port,tcp,udp
372,filtrado,abierto|filtrado
373,filtrado,abierto|filtrado
374,filtrado,abierto|filtrado
375,filtrado,filtrado
376,filtrado,abierto|filtrado
377,filtrado,abierto|filtrado
378,filtrado,abierto|filtrado
379,filtrado,abierto|filtrado
380,filtrado,filtrado
381,filtrado,abierto|filtrado
382,filtrado,abierto|filtrado
383,None,abierto|filtrado
384,filtrado,abierto|filtrado
385,filtrado,abierto|filtrado
386,filtrado,abierto|filtrado
387,filtrado,abierto|filtrado
388,filtrado,abierto|filtrado
389,filtrado,abierto|filtrado
390,filtrado,abierto|filtrado
391,filtrado,abierto|filtrado
392,filtrado,abierto|filtrado
393,filtrado,abierto|filtrado
394,filtrado,abierto|filtrado
395,filtrado,abierto|filtrado
396,filtrado,abierto|filtrado
397,filtrado,abierto|filtrado
398,filtrado,abierto|filtrado
399,filtrado,abierto|filtrado
400,filtrado,abierto|filtrado
401,filtrado,abierto|filtrado
402,filtrado,abierto|filtrado
403,filtrado,abierto|filtrado
404,filtrado,abierto|filtrado
405,filtrado,abierto|filtrado
406,filtrado,abierto|filtrado
407,filtrado,abierto|filtrado
408,filtrado,filtrado
409,filtrado,abierto|filtrado
410,filtrado,abierto|filtrado
411,filtrado,abierto|filtrado
412,filtrado,abierto|filtrado
413,filtrado,abierto|filtrado
414,filtrado,abierto|filtrado
415,filtrado,abierto|filtrado
416,filtrado,abierto|filtrado
417,filtrado,abierto|filtrado
418,filtrado,abierto|filtrado
419,filtrado,abierto|filtrado
420,filtrado,abierto|filtrado
421,filtrado,abierto|filtrado
422,filtrado,abierto|filtrado
423,filtrado,abierto|filtrado
424,filtrado,abierto|filtrado
425,filtrado,abierto|filtrado
426,None,abierto|filtrado
427,filtrado,abierto|filtrado
428,filtrado,abierto|filtrado
429,filtrado,abierto|filtrado
430,filtrado,abierto|filtrado
431,filtrado,abierto|filtrado
432,filtrado,abierto|filtrado
433,filtrado,abierto|filtrado
434,filtrado,abierto|filtrado
435,filtrado,abierto|filtrado
436,filtrado,abierto|filtrado
437,filtrado,filtrado
438,filtrado,abierto|filtrado
439,filtrado,abierto|filtrado
440,filtrado,abierto|filtrado
441,filtrado,abierto|filtrado
442,filtrado,abierto|filtrado
443,abierto SA,abierto|filtrado
444,filtrado,abierto|filtrado
445,filtrado,abierto|filtrado
446,filtrado,abierto|filtrado
447,filtrado,abierto|filtrado
448,filtrado,abierto|filtrado
449,filtrado,abierto|filtrado
450,filtrado,abierto|filtrado
451,filtrado,abierto|filtrado
452,filtrado,abierto|filtrado
453,filtrado,abierto|filtrado
454,filtrado,abierto|filtrado
455,filtrado,abierto|filtrado
456,filtrado,abierto|filtrado
457,filtrado,abierto|filtrado
458,filtrado,abierto|filtrado
459,filtrado,abierto|filtrado
460,filtrado,abierto|filtrado
461,filtrado,abierto|filtrado
462,filtrado,abierto|filtrado
463,None,abierto|filtrado
464,filtrado,abierto|filtrado
465,filtrado,abierto|filtrado
466,filtrado,abierto|filtrado
467,filtrado,abierto|filtrado
